Date,Alemania,Sudáfrica,España
2020-05-14 00:00:00+00:00,172239,12739,229540
2020-05-15 00:00:00+00:00,173152,13524,230183
2020-05-16 00:00:00+00:00,173772,14355,230698
2020-05-17 00:00:00+00:00,174355,15515,230698
2020-05-18 00:00:00+00:00,174697,16433,231606
2020-05-19 00:00:00+00:00,175210,17200,232037
2020-05-20 00:00:00+00:00,176007,18003,232555
2020-05-21 00:00:00+00:00,176752,19137,233037
2020-05-22 00:00:00+00:00,177212,20125,234824
2020-05-23 00:00:00+00:00,177850,21343,235290
2020-05-24 00:00:00+00:00,178281,22583,235772
2020-05-25 00:00:00+00:00,178570,23615,235400
2020-05-26 00:00:00+00:00,179002,24264,236259
2020-05-27 00:00:00+00:00,179364,25937,236259
2020-05-28 00:00:00+00:00,179717,27403,237906
2020-05-29 00:00:00+00:00,180458,29240,238564
2020-05-30 00:00:00+00:00,181196,30967,239228
2020-05-31 00:00:00+00:00,181482,32683,239479
2020-06-01 00:00:00+00:00,181815,34357,239638
2020-06-02 00:00:00+00:00,182028,35812,239932
2020-06-03 00:00:00+00:00,182370,37525,240326
2020-06-04 00:00:00+00:00,182764,40792,240660
2020-06-05 00:00:00+00:00,183271,43434,240978
2020-06-06 00:00:00+00:00,183678,45973,241310
2020-06-07 00:00:00+00:00,183979,48285,241550
2020-06-08 00:00:00+00:00,184193,50879,241717
2020-06-09 00:00:00+00:00,184543,52991,241966
2020-06-10 00:00:00+00:00,184861,55421,242280
2020-06-11 00:00:00+00:00,185416,58568,242707
2020-06-12 00:00:00+00:00,185674,61927,243209
2020-06-13 00:00:00+00:00,186022,65736,243605
2020-06-14 00:00:00+00:00,186269,70038,243928
2020-06-15 00:00:00+00:00,186461,73533,244109
2020-06-16 00:00:00+00:00,186839,76334,244328
2020-06-17 00:00:00+00:00,187184,80412,244683
2020-06-18 00:00:00+00:00,187764,83890,245268
2020-06-19 00:00:00+00:00,188534,87715,245575
2020-06-20 00:00:00+00:00,189135,92681,245938
2020-06-21 00:00:00+00:00,189822,97302,246272
2020-06-22 00:00:00+00:00,190359,101590,246504
2020-06-23 00:00:00+00:00,190862,106108,246752
2020-06-24 00:00:00+00:00,191449,111796,247086
2020-06-25 00:00:00+00:00,192079,118375,247486
2020-06-26 00:00:00+00:00,192556,124590,247905
2020-06-27 00:00:00+00:00,193243,131800,248469
2020-06-28 00:00:00+00:00,193499,138134,248770
2020-06-29 00:00:00+00:00,193761,144264,248970
2020-06-30 00:00:00+00:00,194259,151209,249271
2020-07-01 00:00:00+00:00,194725,159333,249659
2020-07-02 00:00:00+00:00,195228,168061,250103
2020-07-03 00:00:00+00:00,195674,177124,250545
2020-07-04 00:00:00+00:00,196096,187977,250545
